unix_time,datetime,temp_c,arm_clock_hz,throttled
1785057354,2026-07-26 17:15:54,49.1,700154304,0x80000
1785057356,2026-07-26 17:15:56,49.6,600117184,0x80000
1785057358,2026-07-26 17:15:58,49.6,600169920,0x80000
1785057360,2026-07-26 17:16:00,50.1,1800404352,0x80000
1785057362,2026-07-26 17:16:02,50.6,1800404352,0x80000
1785057364,2026-07-26 17:16:04,49.6,600117184,0x80000
1785057366,2026-07-26 17:16:06,51.1,1800457088,0x80000
1785057368,2026-07-26 17:16:08,50.1,1800457088,0x80000
1785057370,2026-07-26 17:16:10,50.1,1800457088,0x80000
1785057372,2026-07-26 17:16:12,50.1,600117184,0x80000
1785057374,2026-07-26 17:16:14,50.6,700154304,0x80000
1785057376,2026-07-26 17:16:16,49.1,1800457088,0x80000
1785057378,2026-07-26 17:16:18,49.6,1800457088,0x80000
1785057380,2026-07-26 17:16:20,49.1,600117184,0x80000
1785057382,2026-07-26 17:16:22,49.6,1800457088,0x80000
1785057385,2026-07-26 17:16:25,50.6,1800404352,0x80000
1785057387,2026-07-26 17:16:27,50.6,600117184,0x80000
1785057389,2026-07-26 17:16:29,51.1,1800457088,0x80000
1785057391,2026-07-26 17:16:31,50.6,1800457088,0x80000
1785057393,2026-07-26 17:16:33,50.1,600169920,0x80000
1785057395,2026-07-26 17:16:35,50.1,600169920,0x80000
1785057397,2026-07-26 17:16:37,50.1,1800457088,0x80000
1785057399,2026-07-26 17:16:39,51.1,1800457088,0x80000
1785057401,2026-07-26 17:16:41,51.1,600117184,0x80000
1785057403,2026-07-26 17:16:43,50.6,1100302720,0x80000
1785057405,2026-07-26 17:16:45,49.1,600169920,0x80000
1785057407,2026-07-26 17:16:47,50.1,1800404352,0x80000
1785057409,2026-07-26 17:16:49,50.1,1800404352,0x80000
1785057411,2026-07-26 17:16:51,49.1,600169920,0x80000
1785057413,2026-07-26 17:16:53,48.7,600117184,0x80000
1785057415,2026-07-26 17:16:55,49.1,700207040,0x80000
1785057417,2026-07-26 17:16:57,48.7,700154304,0x80000
