timestamp,elapsed_s,cpu_usage_percent,soc_temp_c,avg_frequency_mhz,memory_usage_percent
2026-07-27 22:46:44,1308,1.2,49.2,1800.0,18.6
2026-07-27 22:46:45,1309,1.7,48.2,1800.0,18.7
2026-07-27 22:46:46,1310,1.0,49.2,600.0,18.6
2026-07-27 22:46:47,1311,3.5,49.2,1800.0,18.6
2026-07-27 22:46:48,1312,1.4,50.1,1800.0,18.7
2026-07-27 22:46:49,1313,1.5,49.2,1800.0,18.7
2026-07-27 22:46:50,1314,1.0,49.7,1800.0,18.6
2026-07-27 22:46:51,1315,1.7,49.2,750.0,18.6
2026-07-27 22:46:52,1316,3.3,49.2,1800.0,18.6
2026-07-27 22:46:53,1317,1.2,49.2,1800.0,18.6
2026-07-27 22:46:54,1318,1.5,50.6,1800.0,18.6
2026-07-27 22:46:55,1319,1.5,49.7,1800.0,18.6
2026-07-27 22:46:56,1320,1.0,48.7,1800.0,18.6
2026-07-27 22:46:57,1321,1.4,48.7,600.0,18.6
2026-07-27 22:46:59,1323,3.2,48.7,1800.0,18.6
2026-07-27 22:47:00,1324,1.0,48.7,1800.0,18.6
2026-07-27 22:47:01,1325,1.5,48.7,1800.0,18.7
2026-07-27 22:47:02,1326,1.7,50.1,1800.0,18.7
2026-07-27 22:47:03,1327,1.0,49.2,1800.0,18.6
2026-07-27 22:47:04,1328,1.2,49.2,700.0,18.6
2026-07-27 22:47:05,1329,3.3,49.7,600.0,18.7
2026-07-27 22:47:06,1330,2.1,49.2,750.0,18.7
2026-07-27 22:47:07,1331,3.0,48.2,600.0,18.6
2026-07-27 22:47:08,1332,3.2,48.2,600.0,18.6
2026-07-27 22:47:09,1333,3.5,49.2,1800.0,18.7
2026-07-27 22:47:10,1334,1.0,48.7,1800.0,18.6
2026-07-27 22:47:11,1335,1.5,48.7,1800.0,18.7
2026-07-27 22:47:12,1336,1.0,48.7,1800.0,18.7
2026-07-27 22:47:13,1337,1.2,48.7,1800.0,18.7
2026-07-27 22:47:14,1338,1.5,48.7,700.0,18.7
2026-07-27 22:47:15,1339,3.3,48.2,1800.0,18.7
2026-07-27 22:47:16,1340,0.7,49.7,1800.0,18.6
2026-07-27 22:47:17,1341,1.4,49.2,1800.0,18.7
2026-07-27 22:47:18,1342,1.7,48.7,1800.0,18.7
2026-07-27 22:47:20,1344,1.0,48.7,1800.0,18.7
2026-07-27 22:47:21,1345,1.4,48.7,700.0,18.7
2026-07-27 22:47:22,1346,3.0,49.2,650.0,18.7
2026-07-27 22:47:23,1347,1.9,48.7,600.0,18.7
2026-07-27 22:47:24,1348,3.5,48.2,700.0,18.7
2026-07-27 22:47:25,1349,3.3,48.7,700.0,18.7
2026-07-27 22:47:26,1350,3.3,48.2,1000.0,18.7
2026-07-27 22:47:27,1351,1.7,47.7,600.0,18.7
2026-07-27 22:47:28,1352,3.2,48.2,600.0,18.7
2026-07-27 22:47:29,1353,3.5,48.2,800.0,18.7
2026-07-27 22:47:30,1354,1.7,48.2,600.0,18.7
2026-07-27 22:47:31,1355,3.5,49.2,600.0,18.7
2026-07-27 22:47:32,1356,3.2,48.2,1800.0,18.7
2026-07-27 22:47:33,1357,1.0,48.2,1800.0,18.7
2026-07-27 22:47:34,1358,1.4,48.7,1800.0,18.7
2026-07-27 22:47:36,1360,1.4,48.2,1800.0,18.7
2026-07-27 22:47:37,1361,1.0,48.7,1800.0,18.7
2026-07-27 22:47:38,1362,1.2,48.2,600.0,18.7
2026-07-27 22:47:39,1363,3.7,48.7,1800.0,18.7
2026-07-27 22:47:40,1364,1.0,48.2,1800.0,18.7
2026-07-27 22:47:41,1365,1.2,49.2,1800.0,18.7
2026-07-27 22:47:42,1366,1.4,49.2,1800.0,18.7
2026-07-27 22:47:43,1367,1.4,48.7,1800.0,18.7
2026-07-27 22:47:44,1368,1.0,49.2,600.0,18.7
2026-07-27 22:47:45,1369,3.7,48.2,600.0,18.7
2026-07-27 22:47:46,1370,3.2,48.2,1800.0,18.7
2026-07-27 22:47:47,1371,1.0,48.7,1800.0,18.6
2026-07-27 22:47:48,1372,1.2,49.2,1800.0,18.6
2026-07-27 22:47:49,1373,1.7,48.7,1800.0,18.6
2026-07-27 22:47:50,1374,0.7,49.7,1800.0,18.6
2026-07-27 22:47:51,1375,1.7,49.7,600.0,18.6
2026-07-27 22:47:52,1376,3.2,48.7,800.0,18.7
2026-07-27 22:47:53,1377,1.9,47.7,600.0,18.7
2026-07-27 22:47:54,1378,3.5,48.7,700.0,18.6
2026-07-27 22:47:56,1380,3.0,49.2,600.0,18.6
2026-07-27 22:47:57,1381,2.3,48.7,600.0,18.6
2026-07-27 22:47:58,1382,3.2,47.7,1800.0,18.6
2026-07-27 22:47:59,1383,1.7,49.7,1800.0,18.6
2026-07-27 22:48:00,1384,1.2,47.7,1800.0,18.6
2026-07-27 22:48:01,1385,1.0,48.2,1800.0,18.6
2026-07-27 22:48:02,1386,1.4,48.2,600.0,18.6
2026-07-27 22:48:03,1387,3.7,48.2,1800.0,18.7
2026-07-27 22:48:04,1388,1.0,49.7,1800.0,18.7
2026-07-27 22:48:05,1389,1.4,48.2,1800.0,18.7
2026-07-27 22:48:06,1390,1.7,49.7,1800.0,18.6
2026-07-27 22:48:07,1391,1.0,49.7,1800.0,18.7
2026-07-27 22:48:08,1392,1.2,48.2,600.0,18.7
2026-07-27 22:48:09,1393,3.5,48.7,1800.0,18.7
2026-07-27 22:48:10,1394,1.0,49.7,1800.0,18.7
2026-07-27 22:48:11,1395,1.2,48.7,1800.0,18.6
2026-07-27 22:48:12,1396,1.4,48.2,1800.0,18.7
2026-07-27 22:48:13,1397,0.7,49.2,1800.0,18.7
2026-07-27 22:48:14,1398,1.5,48.7,600.0,18.6
2026-07-27 22:48:15,1399,3.5,49.2,600.0,18.7
2026-07-27 22:48:17,1401,2.1,48.7,600.0,18.7
2026-07-27 22:48:18,1402,3.5,49.2,1800.0,18.7
2026-07-27 22:48:19,1403,1.2,48.2,1800.0,18.7
2026-07-27 22:48:20,1404,1.2,48.7,1800.0,18.7
2026-07-27 22:48:21,1405,1.2,49.2,1800.0,18.7
2026-07-27 22:48:22,1406,1.5,48.2,700.0,18.7
2026-07-27 22:48:23,1407,3.3,48.7,700.0,18.6
2026-07-27 22:48:24,1408,1.4,47.2,750.0,18.7
2026-07-27 22:48:25,1409,3.5,48.2,700.0,18.7
2026-07-27 22:48:26,1410,3.0,49.2,1100.0,18.7
2026-07-27 22:48:27,1411,1.4,48.2,600.0,18.6
2026-07-27 22:48:28,1412,3.0,48.2,600.0,18.6
2026-07-27 22:48:29,1413,3.9,49.2,750.0,18.7
2026-07-27 22:48:30,1414,2.3,47.7,600.0,18.6
2026-07-27 22:48:31,1415,2.8,47.2,1800.0,18.6
2026-07-27 22:48:32,1416,1.7,48.7,1800.0,18.6
2026-07-27 22:48:33,1417,1.7,49.7,1800.0,18.6
2026-07-27 22:48:35,1419,1.4,48.7,1800.0,18.6
2026-07-27 22:48:36,1420,1.2,49.7,600.0,18.7
2026-07-27 22:48:37,1421,3.5,49.2,1200.0,18.7
2026-07-27 22:48:38,1422,1.4,48.2,600.0,18.7
2026-07-27 22:48:39,1423,3.5,48.7,700.0,18.7
2026-07-27 22:48:40,1424,3.7,48.2,600.0,18.7
2026-07-27 22:48:41,1425,2.5,47.2,600.0,18.7
2026-07-27 22:48:42,1426,3.3,47.7,1800.0,18.7
2026-07-27 22:48:43,1427,1.4,49.2,1800.0,18.7
2026-07-27 22:48:44,1428,0.7,47.7,1800.0,18.7
2026-07-27 22:48:45,1429,1.5,49.2,1800.0,18.7
2026-07-27 22:48:46,1430,1.4,48.2,1800.0,18.7
2026-07-27 22:48:47,1431,0.7,48.2,600.0,18.7
2026-07-27 22:48:48,1432,3.2,48.7,1800.0,18.7
2026-07-27 22:48:49,1433,1.5,49.2,1800.0,18.7
2026-07-27 22:48:50,1434,1.4,49.2,1800.0,18.7
2026-07-27 22:48:51,1435,1.2,49.7,1800.0,18.7
