unix_time,datetime,total_percent,cpu0_percent,cpu1_percent,cpu2_percent,cpu3_percent
1785058235,2026-07-26 17:30:35,2.4,1.0,1.5,4.5,1.0
1785058237,2026-07-26 17:30:37,3.0,4.5,2.0,5.5,1.0
1785058239,2026-07-26 17:30:39,2.6,2.5,1.5,5.0,1.5
1785058241,2026-07-26 17:30:41,1.8,0.5,0.5,5.5,0.5
1785058243,2026-07-26 17:30:43,1.4,1.0,1.5,3.0,0.5
1785058245,2026-07-26 17:30:45,2.0,2.0,0.5,4.0,1.0
1785058247,2026-07-26 17:30:47,3.4,3.0,1.5,7.5,1.5
1785058249,2026-07-26 17:30:49,2.4,1.5,2.5,3.5,2.0
1785058251,2026-07-26 17:30:51,1.1,1.5,1.5,2.5,0.0
1785058253,2026-07-26 17:30:53,1.6,1.0,1.0,2.5,0.0
1785058255,2026-07-26 17:30:55,2.6,2.5,3.5,3.5,2.0
1785058257,2026-07-26 17:30:57,3.4,3.5,1.5,4.0,4.5
1785058259,2026-07-26 17:30:59,1.3,1.0,1.0,3.0,0.0
1785058261,2026-07-26 17:31:01,1.4,0.5,1.0,2.5,1.5
1785058263,2026-07-26 17:31:03,3.3,0.5,3.0,5.5,3.5
1785058265,2026-07-26 17:31:05,0.9,1.0,0.0,1.5,1.0
1785058267,2026-07-26 17:31:07,1.8,1.5,0.0,3.5,2.0
1785058269,2026-07-26 17:31:09,1.9,1.0,0.5,2.0,4.0
1785058271,2026-07-26 17:31:11,1.3,1.0,1.0,1.0,2.5
1785058273,2026-07-26 17:31:13,1.4,1.0,0.0,1.0,4.0
1785058275,2026-07-26 17:31:15,2.5,1.5,1.0,3.5,3.5
1785058277,2026-07-26 17:31:17,2.1,1.0,0.0,3.0,4.0
1785058279,2026-07-26 17:31:19,1.4,0.5,1.0,1.5,2.0
1785058281,2026-07-26 17:31:21,1.5,0.5,0.0,2.0,3.5
1785058283,2026-07-26 17:31:23,3.0,1.5,0.5,5.0,6.0
1785058285,2026-07-26 17:31:25,2.8,0.5,2.5,2.0,6.0
1785058287,2026-07-26 17:31:27,2.3,1.0,1.0,1.5,5.0
1785058289,2026-07-26 17:31:29,1.1,0.5,0.0,2.0,2.0
1785058291,2026-07-26 17:31:31,2.4,1.5,1.5,2.5,4.0
1785058293,2026-07-26 17:31:33,2.3,1.0,1.0,2.0,5.5
1785058295,2026-07-26 17:31:35,1.0,1.5,0.0,0.0,1.5
1785058297,2026-07-26 17:31:37,2.4,3.5,1.0,1.5,4.5
1785058299,2026-07-26 17:31:39,3.2,2.5,1.5,2.5,6.5
1785058301,2026-07-26 17:31:41,0.8,1.0,0.5,1.0,0.5
1785058303,2026-07-26 17:31:43,1.5,2.0,0.0,0.5,2.5
1785058305,2026-07-26 17:31:45,2.0,2.5,1.5,0.5,5.0
1785058307,2026-07-26 17:31:47,3.1,0.5,2.5,3.5,5.5
1785058309,2026-07-26 17:31:49,2.8,1.5,1.5,3.0,4.5
1785058311,2026-07-26 17:31:51,1.0,1.0,1.0,1.0,1.0
1785058313,2026-07-26 17:31:53,1.5,0.5,2.0,1.0,3.0
1785058315,2026-07-26 17:31:55,2.8,1.0,2.5,4.0,4.0
1785058317,2026-07-26 17:31:57,3.1,1.5,4.0,3.5,3.0
1785058319,2026-07-26 17:31:59,3.4,1.5,2.5,4.0,5.0
1785058321,2026-07-26 17:32:01,3.4,4.0,2.0,4.5,3.5
1785058323,2026-07-26 17:32:03,3.4,3.5,1.0,5.0,4.5
1785058325,2026-07-26 17:32:05,3.3,5.5,1.0,5.0,1.0
1785058327,2026-07-26 17:32:07,2.8,4.5,0.5,4.0,1.5
1785058329,2026-07-26 17:32:09,1.2,2.0,1.0,1.5,1.0
1785058331,2026-07-26 17:32:11,1.0,2.0,0.5,1.0,0.5
1785058333,2026-07-26 17:32:13,2.5,4.0,0.5,4.0,2.0
1785058335,2026-07-26 17:32:15,3.2,5.4,1.0,5.5,1.0
1785058337,2026-07-26 17:32:17,3.0,4.5,1.0,5.0,0.5
1785058339,2026-07-26 17:32:19,3.6,4.5,2.5,5.5,2.0
1785058341,2026-07-26 17:32:21,2.5,5.9,0.5,3.0,1.5
1785058343,2026-07-26 17:32:23,3.0,4.5,0.0,5.5,1.0
1785058345,2026-07-26 17:32:25,1.5,1.5,1.0,2.5,0.5
1785058347,2026-07-26 17:32:27,1.3,0.5,1.0,4.0,0.5
